,breed,fur,fur_color,gender,life_expectancy
306,pastor aleman,Largo,Negro,Macho,13
307,Bulldog,Corto,Beige,Hembra,10
308,Schnauzer Mini,Largo,,Macho,14
310,Pitbull,Corto,café,Hembra,14
311,Chihuahua,Corto,Blanco,,20
312,frech poodle,Corto,Blanco,Macho,14
313,PEQUINES,Largo,Blanco,,14
314,Cocker,Largo,dorados con blanco,Macho,15
315,Chihuahua,Corto,Blanco,Hembra,20
318,Beagle,Corto,Tricolor,,15
319,Frechminitoy,Corto,,Macho,12
321,French,Corto,Blanco,Hembra,15
322,Yorkshire Terrier,Largo,Negro/Fuego,,16
323,Cachorros Yorkshire terrier minitoy tasita de te,Largo,Bicolor,Hembra,20
324,Bulldog Inglés,Corto,Chocolate,Hembra,10
325,Samoyedo,Largo,Blanco,,13
326,Husky,Largo,manto negro,Macho,16
327,Maltés,Largo,Blanco,Hembra,20
328,Shitzu machos y hembras,Largo,Tricolor,Hembra,20
330,American Bully,Corto,Crema,Hembra,15
331,Mastín Napolitano,Corto,Plomo,Macho,10
332,Labrador Retriever,Corto,Chocolate,,14
333,Akita Americano,Largo,Tricolor,,15
334,Pug,Corto,Beige,Hembra,15
336,Shitzu,Largo,Blanco,Hembra,16
337,Chihuahua,Corto,Blanco Y CREMA,Macho,15
340,Bichón Frisé,Largo,Blanco,Macho,20
341,Shih Tzu,Largo,,,16
342,French,Corto,,Hembra,20
343,Bichón Frisé,Largo,Blanco,Macho,15
344,Cachorros Alaska malamute,Largo,Bicolor,Macho,20
345,Husky Siberiano,Corto,Marrón oscuro,Macho,15
346,Bichón Maltés,Corto,Blanco,Macho,13
347,Shar Pei,Corto,Crema,,11
348,FRENCH POODLE,Largo,Blanco,,20
349,Schnauzer,Corto,salpimienta,Hembra,17
351,PEQUINES,Largo,Beige,,14
352,Pomerania,Largo,Blanco,,16
353,Schnauzer,Largo,Blanco,,16
354,Cocker,Corto,Crema,Macho,20
355,Doberman,Corto,Negro,,13
356,Boston Terrier,Corto,Blanco con negro,Hembra,15
357,Husky Siberiano,Corto,Blanco,Hembra,15
358,Hermosos husky siberiano chocolate,Largo,chocolates,Macho,20
359,Pug,Corto,Beige,Hembra,10
360,FRENCH POODLE,Largo,Blanco,,20
361,Yorkshire Terrier,Largo,Bicolor,Hembra,15
363,frech poodle,Largo,Blanco,Hembra,18
364,Frech minitoy,Corto,,Macho,12
365,Shnauzer,Largo,,Macho,12
366,Schnauzer,Largo,Plateado,Hembra,15
367,Husky Siberiano,Corto,Negro,Macho,15
368,TECKEL PIEBALD,,PIEBALD,Hembra,
369,SALCHICHA O TECKEL,Corto,NEGRO FUEGO Y CAFE,,20
371,Schnauzer miniatura blanco,Largo,Blanco,Macho,15
372,French Poodle,,Azul,Macho,
373,Cocker Spaniel,Corto,Caqui,Macho,16
374,frech poodle,Corto,Blanco,Macho,14
376,Husky,Corto,Rojo,Hembra,12
377,Golden,Largo,,Macho,10
378,Cachorros Golden Retriever,Largo,Dorado,Hembra,20
379,Bichón Maltés,Largo,Blanco,,
380,Husky,Largo,Negro,Hembra,10
381,Bichón Maltés,Largo,Blanco,Hembra,15
382,Golden Retriever,Largo,Beige,,12
383,Border Collie,Largo,negro con blanco,Macho,15
384,Cachorros Labrador Retriever beige,Corto,Dorado,Macho,20
385,Bichón Maltés,Largo,Blanco,Macho,15
386,Boxer,Corto,Blanco,Macho,10
387,Cocker,Corto,Blanco,Hembra,15
388,Doberman,Corto,Negro,Macho,13
389,Husky Malamute,Largo,Gris con blanco,,12
391,Bichón Frisé,Largo,Blanco,,15
392,French poodle,,Crema,Macho,
394,golden retrivers,Largo,Dorado,Macho,18
396,Staffordshire Bull Terrier,,los que ve,,
397,pastor aleman,Largo,Negro/Fuego,Macho,13
398,Pitbull,Corto,Gris oscuro,,14
399,Bichón Frisé,Largo,Blanco,Macho,15
400,pastor aleman,Largo,Negro,Macho,13
401,French,Corto,Negro,Hembra,16
402,Husky Siberiano,Corto,manto negro o gris,Macho,15
403,Schnauzer,Corto,Negro,Hembra,16
404,Salchicha,Corto,café,Hembra,17
408,Husky Malamute,Largo,Crema con blanco,,12
409,Cocker Spaniel,Corto,blanco con café,Hembra,16
410,Cachorros Schnauzer Miniatura blancos,Largo,Blanco,Macho,20
411,Pitbull,Corto,Blanco,Macho,14
412,French,Largo,Chocolate,Hembra,16
413,Hermosos akita japonés inu,Corto,Marrón,Hembra,20
414,Golden Retriver,Largo,Marrón claro,Macho,8
415,frech poodle,Corto,Blanco,Macho,14
416,American Bully,,los que observa y mas,,
417,Bulldog Francés,Corto,Gris,Hembra,14
418,Shnauzer,Largo,Negro,Macho,12
419,Pitbull,Corto,Negro,Hembra,14
420,Shnauzer sal pimienta,,,Hembra,
421,Beagle,Corto,,Macho,10
423,Schnauzer Mini,Largo,Blanco,Macho,14
425,Bulldog Francés,Corto,Negro,Hembra,14
426,Caniche Mini,Largo,,,20
427,Bichón Maltés,Largo,,Hembra,15
428,Frechminitoy,Corto,,Hembra,10
429,Frech minitoy,Corto,,Macho,12
